Detector,Descriptor,No of matches pair 1,pair 2,pair 3,pair 4,pair 5,pair 6,pair 7,pair 8,pair 9,Average
SHITOMASI,BRIEF ,96,93,92,89,92,93,85,91,85,91
SHITOMASI,FREAK,66,66,64,63,62,64,61,65,63,64
SHITOMASI,BRISK,84,80,73,77,74,70,79,81,72,77
SHITOMASI,ORB,86,84,87,91,87,76,81,88,88,85
SHITOMASI,SIFT,112,109,104,103,99,101,96,106,97,103
HARRIS,BRIEF,12,12,14,17,17,16,12,20,21,16
HARRIS,FREAK,11,9,13,14,13,18,10,17,18,14
HARRIS,BRISK,11,9,10,11,16,14,12,21,17,13
HARRIS,ORB,11,11,14,17,19,19,13,21,20,16
HARRIS,SIFT,14,11,16,19,22,22,13,24,22,18
FAST,BRIEF,229,253,233,247,224,243,251,260,238,242
FAST,FREAK,178,181,156,182,159,179,196,164,171,174
FAST,BRISK,213,216,187,205,185,200,215,203,208,204
FAST,ORB,226,220,218,226,220,235,251,226,239,229
FAST,SIFT,316,325,297,311,291,326,315,300,301,309
BRISK,BRIEF,138,166,129,141,148,155,158,161,148,149
BRISK,FREAK,114,121,113,118,103,129,135,129,131,121
BRISK,BRISK,138,144,133,144,139,155,137,150,158,144
BRISK,ORB,94,107,88,97,85,114,112,114,122,104
BRISK,SIFT,182,193,169,183,171,195,194,176,183,183
ORB,BRIEF,37,38,37,53,42,64,58,62,59,50
ORB,FREAK,39,33,37,40,33,40,41,39,44,38
ORB,BRISK,60,65,65,76,72,83,83,73,72,72
ORB,ORB,40,57,49,54,57,68,71,62,72,59
ORB,SIFT,67,79,78,79,82,95,95,94,94,85
SIFT,BRIEF,63,72,64,66,52,57,72,67,84,66
SIFT,FREAK,59,63,54,64,51,50,47,53,65,56
SIFT,BRISK,57,63,58,61,55,52,54,63,73,60
AKAZE,BRIEF,108,116,110,109,116,129,133,135,131,121
AKAZE,FREAK,103,105,93,99,97,115,126,118,117,108
AKAZE,BRISK,126,112,121,117,114,119,134,140,127,123
AKAZE,ORB,102,96,96,84,90,116,103,113,118,102
AKAZE,SIFT,134,134,130,136,137,147,147,154,151,141
AKAZE,AKAZE,128,128,125,117,121,132,137,140,144,130
